"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 12, 2018","150.50","150.16","150.59","149.53","290.39K","0.04%"
"Jan 11, 2018","150.44","149.91","150.62","149.53","373.88K","0.25%"
"Jan 10, 2018","150.06","150.03","150.19","149.09","430.01K","-0.11%"
"Jan 09, 2018","150.22","151.78","151.81","150.03","368.55K","-0.99%"
"Jan 08, 2018","151.72","151.84","152.22","151.47","146.59K","-0.06%"
"Jan 05, 2018","151.81","152.31","152.66","151.66","251.06K","-0.33%"
"Jan 04, 2018","152.31","152.22","152.41","151.59","228.64K","0.00%"
"Jan 03, 2018","152.31","151.69","152.41","151.53","199.82K","0.37%"
"Jan 02, 2018","151.75","152.84","152.91","151.38","248.79K","-0.74%"
"Jan 01, 2018","152.88","152.84","152.88","152.72","-","-0.08%"
"Dec 29, 2017","153.00","152.72","153.09","152.31","177.69K","0.18%"
"Dec 28, 2017","152.72","152.91","152.91","152.41","158.65K","-0.14%"
"Dec 27, 2017","152.94","151.38","153.12","151.38","236.79K","0.87%"
"Dec 26, 2017","151.62","150.91","151.78","150.75","82.76K","0.56%"
"Dec 25, 2017","150.78","150.88","150.94","150.78","-","-0.15%"
"Dec 22, 2017","151.00","151.00","151.22","150.88","104.29K","-0.13%"
"Dec 21, 2017","151.19","150.53","151.25","150.47","193.75K","0.42%"
"Dec 20, 2017","150.56","151.66","151.88","150.44","299.84K","-1.29%"
"Dec 19, 2017","152.53","154.31","154.31","153.00","3.44K","-1.13%"
"Dec 18, 2017","154.28","155.28","155.28","154.22","3.10K","-0.71%"
"Dec 15, 2017","155.38","155.12","155.50","154.81","1.34K","0.10%"
"Dec 14, 2017","155.22","154.62","155.22","154.25","1.99K","0.26%"
"Dec 13, 2017","154.81","153.94","154.84","153.59","2.28K","0.67%"
"Dec 12, 2017","153.78","154.16","154.16","153.31","1.46K","-0.25%"
"Dec 11, 2017","154.16","154.12","154.66","154.03","2.60K","0.10%"
"Dec 08, 2017","154.00","154.22","154.34","153.69","5.12K","0.02%"
"Dec 07, 2017","153.97","154.97","155.53","154.00","2.13K","-0.77%"
"Dec 06, 2017","155.16","154.75","155.66","154.69","17.10K","0.23%"
"Dec 05, 2017","154.81","154.19","154.88","153.78","7.54K","0.45%"
"Dec 04, 2017","154.12","153.62","154.31","153.19","13.57K","-0.17%"
"Dec 01, 2017","154.38","152.97","155.28","152.88","40.99K","1.01%"
"Nov 30, 2017","152.84","153.16","153.31","152.12","71.08K","-0.31%"
"Nov 29, 2017","153.31","154.41","154.69","152.88","345.95K","-0.63%"
"Nov 28, 2017","154.28","154.31","154.84","154.06","472.64K","-0.04%"
"Nov 27, 2017","154.34","154.31","154.75","153.94","588.30K","0.06%"
"Nov 24, 2017","154.25","154.62","154.75","153.91","161.74K","-0.25%"
"Nov 23, 2017","154.64","154.52","154.74","154.27","-","0.09%"
"Nov 22, 2017","154.50","154.19","154.62","153.53","325.33K","0.27%"
"Nov 21, 2017","154.09","153.81","154.69","153.75","396.51K","0.28%"
"Nov 20, 2017","153.66","154.03","154.44","153.59","245.65K","-0.08%"
"Nov 17, 2017","153.78","153.16","154.16","153.09","245.81K","0.14%"
"Nov 16, 2017","153.56","154.28","154.28","153.09","275.37K","-0.29%"
"Nov 15, 2017","154.00","153.06","154.31","153.03","336.76K","0.73%"
"Nov 14, 2017","152.88","152.34","153.12","152.16","259.49K","0.31%"
"Nov 13, 2017","152.41","152.16","152.94","152.03","267.22K","0.07%"
"Nov 10, 2017","152.31","153.69","153.78","152.06","334.13K","-1.02%"
"Nov 09, 2017","153.88","154.16","154.44","153.56","363.32K","-0.30%"
"Nov 08, 2017","154.34","154.53","154.81","154.12","218.55K","-0.23%"
"Nov 07, 2017","154.69","154.28","154.75","153.91","282.95K","0.30%"
"Nov 06, 2017","154.22","153.75","154.38","153.38","191.09K","0.36%"
"Nov 03, 2017","153.66","153.50","154.00","153.34","262.26K","0.12%"
"Nov 02, 2017","153.47","152.91","153.69","152.69","283.67K","0.47%"
"Nov 01, 2017","152.75","152.38","153.31","151.97","329.88K","0.18%"
"Oct 31, 2017","152.47","152.28","152.59","152.09","228.32K","0.06%"
"Oct 30, 2017","152.38","151.50","152.44","151.34","231.98K","0.79%"
"Oct 27, 2017","151.19","150.53","151.56","150.31","354.07K","0.31%"
"Oct 26, 2017","150.72","151.16","151.69","150.47","307.23K","-0.13%"
"Oct 25, 2017","150.91","151.50","151.62","150.44","373.67K","-0.51%"
"Oct 24, 2017","151.69","152.44","152.53","151.28","239.36K","-0.43%"
"Oct 23, 2017","152.34","152.09","152.62","151.88","194.92K","0.10%"
"Oct 20, 2017","152.19","153.41","153.56","151.78","352.54K","-0.87%"
"Oct 19, 2017","153.53","152.91","154.06","152.91","296.41K","0.33%"
"Oct 18, 2017","153.03","154.06","154.09","152.78","254.67K","-0.67%"
"Oct 17, 2017","154.06","153.75","154.09","153.31","215.14K","0.22%"
"Oct 16, 2017","153.72","154.09","154.12","153.56","203.19K","-0.18%"
"Oct 13, 2017","154.00","153.12","154.16","152.94","295.01K","0.59%"
"Oct 12, 2017","153.09","152.44","153.19","152.31","262.53K","0.35%"
"Oct 11, 2017","152.56","152.19","152.88","152.06","207.35K","0.04%"
"Oct 10, 2017","152.50","152.22","153.06","151.88","295.62K","0.27%"
"Oct 09, 2017","152.09","152.06","152.31","151.88","48.22K","0.12%"
"Oct 06, 2017","151.91","152.28","152.38","151.22","338.07K","-0.22%"
"Oct 05, 2017","152.25","152.75","152.94","152.03","221.32K","-0.20%"
"Oct 04, 2017","152.56","152.81","153.25","152.19","232.37K","-0.04%"
"Oct 03, 2017","152.62","152.56","152.88","152.00","241.96K","-0.05%"
"Oct 02, 2017","152.69","152.69","153.12","152.06","263.76K","-0.08%"
"Sep 29, 2017","152.81","152.75","153.00","152.38","364.79K","0.02%"
"Sep 28, 2017","152.78","152.91","153.12","152.03","351.33K","-0.10%"
